Дата,Kлики,Показы,CTR,Позиция
2026-07-17,1,93,1.08%,17.7
2026-07-18,0,99,0%,13.8
2026-07-19,1,122,0.82%,19
2026-07-20,3,164,1.83%,17.8
2026-07-21,2,320,0.62%,26.7
2026-07-22,3,299,1%,19.3
2026-07-23,4,259,1.54%,18.9
2026-07-24,2,241,0.83%,15.5
2026-07-25,3,253,1.19%,18.2
2026-07-26,4,336,1.19%,20.6
2026-07-27,1,257,0.39%,24.6
2026-07-28,5,292,1.71%,18.4
2026-07-29,4,211,1.9%,18.7
2026-07-30,1,184,0.54%,16.1
2026-07-31,5,180,2.78%,16.5
2026-08-01,1,206,0.49%,16.6
2026-08-02,3,219,1.37%,19.2
2026-08-03,2,199,1.01%,21
2026-08-04,3,214,1.4%,18.5
2026-08-05,2,344,0.58%,15.7
2026-08-06,5,401,1.25%,14.9
2026-08-07,8,300,2.67%,13.1
2026-08-08,5,505,0.99%,10.8
2026-08-09,11,973,1.13%,13.3
2026-08-10,19,1440,1.32%,16.3
2026-08-11,17,1379,1.23%,13.1
2026-08-12,24,1448,1.66%,14.4
2026-08-13,23,2039,1.13%,12.1
2026-08-14,20,2255,0.89%,11.7
2026-08-15,21,2376,0.88%,11.4
2026-08-16,30,2478,1.21%,11.7
2026-08-17,27,2309,1.17%,12.4
2026-08-18,35,2366,1.48%,11
2026-08-19,32,2279,1.4%,11.1
2026-08-20,32,2094,1.53%,10.9
2026-08-21,25,1749,1.43%,11.5
2026-08-22,25,1808,1.38%,10.8
2026-08-23,29,1970,1.47%,10.5
2026-08-24,24,1810,1.33%,11.9
2026-08-25,28,1705,1.64%,10.7
2026-08-26,35,2546,1.37%,11.2
2026-08-27,23,2706,0.85%,10.8
2026-08-28,22,1669,1.32%,10
2026-08-29,28,1970,1.42%,10.2
2026-08-30,30,2240,1.34%,11.2
2026-08-31,26,2491,1.04%,11.8
2026-09-01,23,2548,0.9%,9.6
2026-09-02,28,3019,0.93%,9.8
2026-09-03,36,2967,1.21%,9.3
2026-09-04,27,2439,1.11%,9.2
2026-09-05,28,2313,1.21%,9.2
2026-09-06,20,2539,0.79%,8.9
2026-09-07,26,2565,1.01%,9.7
2026-09-08,27,2325,1.16%,9.9
2026-09-09,14,2200,0.64%,8.9
2026-09-10,20,1830,1.09%,9.3
