Страна,Kлики,Показы,CTR,Позиция
Индонезия,257,19510,1.32%,9
Россия,86,3106,2.77%,14.27
Испания,83,3729,2.23%,9.59
Франция,73,3270,2.23%,15.93
Австралия,53,5879,0.9%,12.09
США,42,9023,0.47%,11.53
Сингапур,36,3212,1.12%,9.11
Великобритания,32,3196,1%,11.42
Индия,24,3431,0.7%,11.51
Нидерланды,16,1480,1.08%,8.4
Гонконг,13,1237,1.05%,8.89
Малайзия,13,1158,1.12%,10.45
Китай,13,564,2.3%,7.78
Германия,12,1353,0.89%,13.39
Бельгия,12,538,2.23%,6.7
Швейцария,11,470,2.34%,9.67
Канада,10,1066,0.94%,9.49
Япония,10,979,1.02%,7.15
Тайвань,9,433,2.08%,9.18
Вьетнам,7,540,1.3%,19.47
Объединенные Арабские Эмираты,6,1462,0.41%,37.89
Беларусь,5,200,2.5%,6.92
Таиланд,4,488,0.82%,13.82
Италия,4,347,1.15%,8.66
Казахстан,4,345,1.16%,7.24
Филиппины,3,913,0.33%,17.88
Новая Зеландия,3,647,0.46%,7.9
Южная Корея,3,457,0.66%,9.89
Австрия,3,211,1.42%,10.86
Португалия,3,145,2.07%,8.65
Люксембург,3,62,4.84%,8.76
Южная Африка,2,302,0.66%,9.23
Турция,2,290,0.69%,21.83
Пакистан,2,255,0.78%,9.4
Украина,2,215,0.93%,13.82
Норвегия,2,173,1.16%,12.35
Польша,2,155,1.29%,7.99
Алжир,2,153,1.31%,12.65
Тунис,2,139,1.44%,7.03
Израиль,2,101,1.98%,12.63
Мальта,2,47,4.26%,8.06
Сербия,2,32,6.25%,7.84
Реюньон,2,16,12.5%,6.38
Монако,2,13,15.38%,11.69
Бразилия,1,433,0.23%,15.18
Мексика,1,339,0.29%,16.05
Дания,1,281,0.36%,12.53
Марокко,1,212,0.47%,14.85
Швеция,1,208,0.48%,12.13
Бангладеш,1,195,0.51%,24.69
Саудовская Аравия,1,176,0.57%,15.15
Колумбия,1,161,0.62%,12.55
Ирландия,1,127,0.79%,7.72
Катар,1,121,0.83%,7.9
Шри-Ланка,1,96,1.04%,8.15
Иордания,1,49,2.04%,22
Эстония,1,44,2.27%,5.98
Азербайджан,1,28,3.57%,6.61
Ливан,1,27,3.7%,7.37
Молдова,1,16,6.25%,6.31
Панама,1,14,7.14%,6.71
Лаос,1,12,8.33%,7.92
Танзания,1,11,9.09%,5.73
