url,impressions,clicks,position,ctr_pct,tier
/bali/en/journal/sanur-to-nusa-penida-fast-boat,2527,4,9.66,0.16,A
/bali/en/journal/nusa-penida-day-trip-from-uluwatu,2231,18,6.78,0.81,A
/bali/en/journal/bali-grab-taxi-driver-cost,2218,8,6.9,0.36,A
/bali/en/journal/best-beaches-bali-crystal-clear-water,2199,43,9.05,1.96,A
/bali/en/journal/nusa-dua-vs-seminyak,2099,5,11.88,0.24,A
/bali/en/journal/blue-lagoon-padang-bai-guide,1825,0,7.44,0.0,A
/bali/en/journal/bali-private-driver-cost,1430,3,10.21,0.21,A
/bali/en/journal/best-white-sand-beaches-bali,1291,14,9.33,1.08,A
/bali/en/journal/kuta-vs-seminyak,1134,3,10.85,0.26,A
/bali/en/journal/mount-batur-hot-springs-guide,1076,5,10.06,0.46,A
/bali/en/journal/seminyak-vs-uluwatu,815,8,8.64,0.98,A
/bali/en/journal/nusa-penida-day-trip-from-sanur,759,3,10.57,0.4,A
/bali/en/journal/canggu-vs-kuta,686,4,7.63,0.58,A
/bali/en/journal/sanur-vs-uluwatu,675,16,6.41,2.37,A
/bali/en/journal/where-to-stay-bali-first-time,621,4,10.43,0.64,A
/bali/en/journal/gili-islands-day-trip-from-bali,1161,3,13.82,0.26,B
/bali/en/journal/bali-safety-scams-and-health,402,1,13.35,0.25,B
/bali/en/journal/ubud-vs-uluwatu,576,3,8.01,0.52,C
/bali/en/journal/bali-surf-conditions-tides-swell-wind,469,2,8.17,0.43,C
/bali/en/journal/whale-shark-season-sumbawa,444,7,7.11,1.58,C
